100 500
63 87 71
71 87 33
69 63 84
81 71 10
54 63 76
70 71 47
51 87 98
12 63 32
64 69 7
24 54 7
41 54 47
60 87 59
97 12 53
3 70 23
98 69 34
6 60 53
46 69 39
45 81 73
55 69 26
37 71 28
21 6 74
57 51 22
89 60 5
8 41 79
13 45 48
91 41 31
92 41 22
36 69 82
10 37 1
4 41 43
53 8 85
73 60 41
74 54 66
76 91 31
77 3 30
95 53 25
83 64 42
78 70 7
17 60 13
42 95 30
84 51 47
16 63 11
33 81 75
62 97 37
58 98 93
52 74 99
67 71 67
28 24 67
50 51 90
43 33 94
93 95 10
5 6 79
56 91 70
39 13 23
31 6 55
49 37 51
23 51 89
22 73 95
72 41 60
14 41 84
25 70 76
61 50 12
11 3 74
75 81 17
65 97 75
20 51 6
85 24 19
27 17 67
79 60 88
99 43 54
19 14 87
59 39 32
44 74 89
66 44 42
47 84 31
9 47 94
26 22 82
88 69 54
40 47 60
35 72 16
29 85 59
86 65 61
0 26 65
82 85 66
38 5 100
94 45 95
96 14 89
90 19 11
2 37 87
80 9 44
7 44 68
32 72 53
1 14 11
15 27 20
18 12 26
68 61 41
34 83 20
48 95 8
30 46 64
75 41 94
47 89 35
66 60 70
13 33 67
52 65 39
84 74 44
94 55 14
5 0 88
5 94 10
88 18 30
81 86 3
48 93 42
37 36 97
57 53 72
86 9 95
7 56 12
88 42 14
59 18 25
57 41 57
60 29 7
12 7 33
23 77 81
2 56 65
65 26 97
80 95 42
18 81 53
66 29 95
65 88 3
92 52 46
2 87 93
45 15 22
32 50 49
29 55 77
17 46 93
60 93 78
47 43 79
33 68 42
10 42 21
31 37 89
8 94 9
67 13 51
49 48 94
95 74 76
47 88 35
53 54 70
11 8 87
59 79 42
4 0 55
38 91 86
94 98 53
1 21 3
30 78 61
18 97 8
64 41 39
25 81 68
8 97 44
74 99 47
44 17 58
16 6 95
80 65 26
26 57 99
65 48 31
67 86 55
16 1 91
47 34 5
13 21 75
24 16 4
73 76 92
23 50 71
78 95 5
74 19 34
74 34 22
57 85 72
88 75 69
34 25 52
31 30 68
98 38 43
64 74 83
30 26 66
90 75 14
11 0 2
9 94 11
86 74 28
48 25 49
80 13 37
18 92 15
87 91 68
8 69 12
48 37 54
88 57 58
12 64 43
15 89 45
49 14 83
16 70 51
51 94 65
56 43 27
83 77 46
15 43 73
24 62 94
82 89 47
59 43 34
5 35 36
78 98 83
6 29 4
29 73 22
73 68 74
75 99 29
22 62 18
7 53 91
41 37 52
38 99 23
78 43 95
91 59 69
46 59 91
48 7 28
33 59 89
78 72 41
10 76 19
7 84 10
21 35 20
6 80 30
98 67 71
9 87 1
55 61 91
83 11 33
23 71 69
61 89 100
86 31 93
40 61 86
28 31 88
12 24 85
56 68 14
38 95 88
32 67 50
88 81 21
49 25 8
4 71 51
61 81 96
35 42 10
45 18 9
96 80 45
4 55 72
68 90 89
32 13 29
88 37 75
48 80 100
82 88 50
78 49 97
54 56 17
3 61 50
77 39 38
24 99 13
83 53 31
64 6 40
30 84 2
90 55 68
17 29 61
67 9 86
36 49 67
10 51 100
99 80 70
18 66 63
82 43 75
67 82 31
46 5 72
91 70 92
52 16 4
60 41 4
14 26 56
82 15 7
64 97 54
1 53 56
71 15 22
48 71 98
48 20 10
59 48 42
0 1 12
0 72 92
35 45 29
80 39 5
42 8 61
52 38 92
85 91 93
74 63 54
71 16 45
46 50 51
50 67 18
80 29 30
6 84 27
97 37 27
64 3 100
18 3 57
85 6 5
22 92 50
23 92 83
64 48 79
21 77 5
45 17 63
21 55 100
33 11 66
36 57 92
62 30 99
42 29 84
43 27 42
45 0 71
5 26 19
50 60 45
96 38 20
8 1 46
36 61 29
72 40 21
92 8 46
44 60 10
10 29 88
33 69 83
82 38 19
95 87 85
82 23 95
47 75 36
12 90 60
5 71 1
89 1 30
56 15 98
60 88 63
64 86 75
76 9 29
27 4 23
65 11 62
42 92 9
16 80 93
38 60 37
36 73 84
74 48 6
31 64 19
92 96 87
56 4 9
76 58 82
57 59 18
92 19 73
48 96 57
56 74 1
86 97 69
2 48 72
4 61 70
45 65 63
57 4 6
0 22 64
55 43 65
33 44 64
22 80 46
80 5 48
42 20 35
12 20 40
15 87 25
11 44 70
3 25 69
75 52 70
51 62 78
4 24 1
38 37 33
18 64 38
74 11 90
32 26 53
30 54 30
49 42 59
79 66 88
12 75 30
88 66 89
38 45 55
89 52 57
13 95 17
76 71 49
76 36 51
3 60 60
27 77 95
76 45 25
43 97 80
73 79 55
29 68 45
95 20 76
43 79 80
88 2 4
99 1 28
11 20 84
19 78 71
97 32 45
55 98 39
98 50 54
84 35 47
70 73 72
58 38 28
37 21 96
92 59 4
26 36 22
15 22 44
3 7 15
81 99 59
24 52 40
4 69 3
33 5 14
92 5 37
79 94 17
50 10 81
66 80 19
43 98 39
82 42 52
14 72 13
71 1 65
79 28 78
59 38 68
25 86 53
24 29 3
26 73 78
31 51 19
53 42 83
86 56 35
60 30 24
98 17 19
83 82 9
10 1 31
77 70 71
12 46 22
85 0 88
88 72 75
3 14 11
57 40 75
33 57 49
69 85 95
10 47 11
10 24 82
33 18 92
89 28 37
94 63 9
59 74 34
60 63 81
14 75 71
44 96 14
9 99 55
75 65 46
94 18 16
25 97 32
53 79 67
23 90 31
39 62 12
50 43 89
34 60 84
91 21 28
39 61 17
47 36 99
92 61 8
95 44 100
13 23 63
38 67 40
68 50 98
50 69 86
90 82 87
20 91 71
37 43 50
24 31 41
66 84 82
68 16 47
30 47 56
85 60 14
88 5 46
26 51 22
16 55 39
72 79 68
50 77 93
77 34 71
70 40 26
10 9 44
9 30 58
13 56 15
20 84 69
18 89 49
90 42 62
78 52 58
22 98 70
15 9 28
97 67 41
98 37 70
99 10 78
51 47 22
68 3 5
32 78 18
56 82 91
32 52 27
97 82 66
89 19 59
40 27 63
4 2 57
7 21 94
71 68 84
73 78 88
83 26 59
49 52 18
92 49 24
86 80 9
74 98 82
25 9 47
25 65 55
