10000 50000
2382 4 18
1519 2090 54
2708 280 6
8954 8393 59
9458 6226 69
7485 9621 36
6784 8102 56
1854 2390 35
8141 5945 53
3688 1998 42
4652 4931 26
5047 9194 30
1130 1044 29
9743 6920 22
7797 9279 64
2064 1368 69
4382 4947 34
3749 2756 32
9615 8374 12
1631 4418 72
3574 2347 52
2526 2838 73
9584 5235 81
9896 8778 53
3262 445 5
3560 4736 4
5106 9559 69
7568 9869 33
1690 940 8
3302 3197 72
6876 6357 3
7210 9891 85
7816 7354 81
814 2279 23
1121 1897 92
4980 3767 42
4251 4426 38
3083 417 31
4662 2867 93
6586 7541 3
4241 3679 12
7547 5781 28
9583 8943 31
7097 8733 42
3733 3451 57
2017 1541 46
5265 8895 93
4036 3820 91
1748 2033 36
7323 6172 3
3577 510 24
2921 2091 13
8131 7258 84
1325 2805 22
9498 9391 85
1500 1684 55
4246 2202 26
8730 8082 24
1282 2107 84
4082 779 80
3498 1490 10
6921 8262 10
6412 6133 42
8095 9914 77
3906 239 5
5125 9979 84
7942 9400 47
8511 9051 98
1037 4777 60
1810 1299 14
6180 6166 95
1679 954 32
6837 6580 95
1350 3809 46
114 3306 12
1427 4959 79
6528 7681 38
2868 2105 15
5222 7990 2
6881 8198 84
6051 9869 22
2930 1219 30
6722 7805 8
1140 2738 52
4593 3016 8
5324 9378 52
5941 5169 57
5201 6293 14
2199 4813 79
3182 3442 13
9561 9733 48
1333 4928 99
6633 5000 21
532 693 29
8989 9051 9
4811 1816 85
6885 8858 74
9684 6708 82
5740 8597 53
2353 4038 42
7399 7078 14
5785 6564 35
7027 9847 46
3380 93 81
3338 2071 35
3953 4557 37
3087 3779 30
4270 4351 9
3333 1566 23
7952 9243 68
7899 6291 99
3166 2391 66
1954 311 25
3842 2144 98
3844 938 42
6759 6520 58
4007 4564 96
6851 6982 58
120 2833 30
6158 6539 5
7256 8095 89
8601 6393 22
1466 4325 12
3464 1764 39
4530 2572 37
4760 3834 53
5079 9479 65
7705 7525 81
5673 8668 23
1676 2725 60
4211 2489 61
4133 3983 39
9681 9370 49
4297 2755 27
6139 9567 61
6129 5975 2
3376 4304 59
2509 4519 28
5083 9883 1
5282 9054 43
5785 6897 89
1908 3300 10
7568 7079 93
9083 8919 17
4402 3008 48
7026 8619 78
7631 6733 11
5395 8516 61
6606 6399 57
4851 1273 61
6316 5945 51
3052 3425 9
3426 3016 96
6181 9518 79
4027 892 84
6484 9502 11
627 3158 5
6364 7022 49
904 1178 9
9182 9407 62
3005 2340 37
2780 3228 82
4418 3764 61
2889 3519 9
8708 7724 16
9050 5280 88
4939 3766 24
2807 2488 4
4398 3544 27
418 2535 60
7208 5505 44
9550 7140 13
9478 8147 87
5368 8651 56
4615 2921 80
2809 4253 52
9746 6136 64
6098 9653 91
8442 7543 45
5351 7639 57
8749 6824 22
540 4810 73
7600 7502 80
8330 7980 13
2012 3783 34
5106 9434 49
2396 3298 14
5400 7559 44
1260 4703 57
5249 5721 85
3219 3851 34
5853 7297 67
2913 2795 35
4421 3497 89
457 4997 41
7437 9621 42
8616 6036 68
2115 3141 82
1707 627 72
1741 711 59
8740 9478 65
5279 6814 92
9454 8286 59
5546 5039 76
5084 6443 66
7909 6137 67
6661 7225 87
6104 5842 87
3762 1597 48
1571 1558 69
9494 6855 4
7331 6361 17
941 448 96
2245 2321 1
8317 5147 83
6161 8295 81
6799 5341 34
8615 8404 4
6790 8110 75
285 54 97
30 2991 2
2414 2730 46
4078 3883 47
3235 4161 85
7798 6104 61
8830 6453 69
585 1685 62
2154 4986 77
6220 8931 88
8884 5543 56
412 1518 40
604 4996 25
5699 5195 10
9140 7900 21
9532 6169 75
5375 8754 28
9074 7882 25
4651 213 98
6052 9032 6
8207 7373 95
2244 1170 73
5565 5381 66
9874 7734 75
8336 5033 62
8957 8918 83
1471 3135 69
2914 4597 61
